,message,sentiment,predicted sentiment
2467,not easy blame climate change though know increasing temperature lead enhancement rain event,1,0
14412,not climate change,0,0
272,race curb climate change city pace government paris agreement c 40 global covenant city 4 climate,1,2
14494,retweet s thinking s going die husband doesnt believe climate change,1,1
8258,retweet trump appoint climate change denier head epa s green party protest vote working ya,1,1
13658,e tribune pakistan becomes fifth country world adopt legislation climate change,2,2
7334,today world environment day global climate change affect everyone amp must protect world live,1,1
11170,retweet storm climate change amp political upheaval leading tragic future environment,1,1
14602,whilst donald trump appoints climate change denier scott pr u t exxon knew better almost 40 year ago science,1,1
12003,retweet perhaps biggest impact result overnight climate change world little hope staying wi,1,1
3260,retweet 11 terrifying climate change fact 2017 need urgent climate action,1,1
12689,swear republican think climate change mean everywhere going nice 70 degree time like isnt san diego,1,1
7401,retweet let assume climate change isnt happening cleaner air water t bad either way,1,1
4073,retweet detail plan welcome refugee nz people displaced climate change wor,1,1
7442,retweet climate change w anker set nt dictated save world cutting,-1,1
4374,retweet president trump force china take lead climate change,2,2
15522,retweet trump epa started scrub climate change data website column via,2,2
15314,retweet ludicrous gulf climate change goal reality one charetweet via,2,1
10558,retweet trump epa chief scott pr u t denies human activity link climate change,2,2
613,snowed fucking sahara deseretweet try telling global warming isnt happening,1,1
5322,retweet act entire specie lost global warming say scientist biodiversity climate,2,1
6036,id say america even stranger bbc give melanie phillips televised platform climate change denial,1,1
14682,effective individual action fight climate change s study,1,1
6422,retweet ba scientist co author piece temperature alone insufficient monitor climate change,2,2
15221,weather trump undo obama plan curb global warming epa chief say boston globe forecast,2,2
9645,medium must make climate change vital issue president trump guardian,1,1
3818,retweet 800 scientist growing open letter donald trump climate change,2,2
11345,nigeria need 140 b climate change commitment say world bank,2,2
4570,retweet liberal call anyone skeptical bullshit denier man made climate change hoax co 2 not poison mac lim,-1,-1
3183,sussex graduate dr melissa lazenby explains studying african climate change personal choice,0,1
6554,thank goodness still need accept climate change though,1,1
13545,business ready take hunger poverty war climate change profit shel ho,1,1
12079,retweet trump reject climate change abandon commitment give u leadership damage 2016,1,1
10690,retweet fact check world s biggest oil firm announce miniscule climate change fund,1,1
12087,retweet interviewer think global warming mel ania trump hello s kind s strong s great c,0,0
2586,retweet animal agriculture leading cause climate change cruel af go vegan climate change monday mood,1,1
11991,retweet study brings insight global warming trend learn ntr s,2,0
3199,tiller conflict interest want fewer sanction russia denier climate change,1,1
11909,emily talking soil susceptibility erosion process climate change star bor wick star oil,1,0
11237,retweet trump called climate change hoax chance destroy effort beat,1,1
14038,climate scientist keep quiet global warming mentioned,0,0
7171,retweet go per s deny climate change reason accept scientist solar eclipse,1,1
708,retweet look long shot engineering idea keep climate change wrecking planet h tt,1,1
14972,retweet new climate change film streaming flood,2,2
11699,retweet despite global warming alaska little warming since 1977 except barrow shown h tt,0,0
9011,retweet s gutting s next grade 4 agenda world flat need vaccine climate change,1,1
7543,imagine climate change singapore start cold,0,0
12811,retweet deep sadness amp heavy hearetweet remember jadis white witch worked tirelessly reverse narnia n global warming,0,1
14871,retweet believe climate change dont even believe,1,1
1183,could make selling app replaces global warming since 1998 since 2016,1,-1
8679,retweet evidence climate change abounds amid extreme weather pacific northwest seattle pd x,1,1
8772,retweet u speak climate truth climate denier doesnt make climate change scam mers cli mat,-1,-1
14867,retweet irony florida state danger washed away due rising sea level elected guy denies climate change,1,1
12597,retweet need nominee committed common sense solution address climate change,1,1
13425,retweet trump s budget make harder low income american deal climate change,1,1
11210,think going find climate change everything else thing like global warming goodness know else,1,0
3743,retweet remember last time subject climate change news headline went something like,0,1
1803,retweet want help help fight climate change simple go vegan world vegan day,1,1
15155,retweet american even le worried russia climate change,0,0
7920,3 novice oceanographic training centre getting ready ocean play big role studying climate change weather forecasting pattern,1,1
14381,retweet good news friday without federal supporetweet city state push forward take action climate change,1,1
13985,retweet rex tiller accused using email alias wayne tracker discus climate change exxon via,2,2
12366,retweet profitable global warming hysteria business junk science red nation rising,-1,-1
11562,retweet trump transition team crafting new blacklist anyone belief climate change,1,2
10427,practice airing side create completely false equivalence e g climate change reporting 2 2,1,0
3605,retweet s thinking s going die husband doesnt believe climate change,1,1
3757,retweet di year 3205 water risen global warming won half humanity wiped exo l wouldnt happened,1,0
5549,retweet al gore thought trump might come sens climate change nope,1,1
6173,retweet s thinking s going die husband doesnt believe climate change,1,1
14967,conservative elected trump climate change john abraham anyone voted trump share,1,1
11960,renewable energy climate change innovation,1,1
15707,retweet s thinking s going die husband doesnt believe climate change,1,1
2673,retweet remember jon scott asked bill nye existence volcano moon disproves climate change,0,1
2708,la created 50 billion plan cope climate change challenge getting washington help via,2,1
2354,retweet human activity major driver climate change say obama s former energy secretary,2,2
2883,retweet new interactive map show climate change affected extreme weather event,1,1
3475,retweet s thinking s going die husband doesnt believe climate change,1,1
11827,retweet think fighting climate change expensive calculate cost letting happen,1,1
645,retweet good point candidate might end global warming bringing u nuclear winter dont,1,1
7985,climate change record breaking climate change push world uncharted territory,2,2
1655,retweet natural climate change produce 10 c swing antarctic temperature man made climate change produce 0 c swing,-1,-1
13256,retweet s thinking s going die husband doesnt believe climate change,1,1
6178,retweet mayor call trump congress rejoin paris accord climate change vow take battle,2,2
3376,complicated political time private sector lead sustainability respond climate change,1,1
2891,global warming,0,0
2784,retweet polar vortex shifting due climate change extending winter climate weather,2,2
856,retweet speaking climate change tonight another killer episode 10 9 c,1,1
7502,retweet president trump may destroy america maybe stop destroying world sign climate change petition ht,1,1
9120,retweet frozen star kristen bell sings song climate change netflix doc,2,0
14159,retweet millennial s not get vote doomed future let fixing climate change woman rig,1,1
5085,al gore scam artist sure hope trump bury climate change nonsense,-1,-1
11316,africa need tackle climate change al jazeera environment,2,1
13070,retweet climate change study canceled due impact climate change,2,1
13949,retweet yall sleeping tweet reason global warming happening,0,0
12014,usda tell staff stop using term climate change via,2,2
958,retweet find global goal series target end poverty tackle climate change event 4 may,1,2
2665,retweet fossil fuel money made climate change denial word god,1,1
12756,climate change expert call climate change panel better reflect ocean,1,2
7567,australian coastline glow dark sinister sign climate change,2,2
2304,retweet united state department agriculture staff told avoid term climate change use weather ex tre,2,0
9477,retweet major city round world turned light last night draw attention global warming thanks lagos,1,1
12435,retweet s thinking s going die husband doesnt believe climate change,1,1
6934,retweet jane fonda dont address climate change immediately four year late,2,1
5624,retweet bernie sander slam corporate medium failing properly cover key election issue like climate change,1,2
9792,look sweden wish would mr trump climate change policy inspiration,1,0
7301,retweet dont care combating climate change might kill job ultimate job killer planet n,1,1
8671,sander pathetic epa chief think co 2 not primary contributor climate change,2,2
7067,find climate change aspect sarah palin begin head park literally make sick,0,1
12064,climate change s watch leonardo dicaprio s climate change documentary free online,0,0
2440,retweet please make clear climate change real green job matter stop hurting american health ec,1,1
15118,retweet grassy knoll anti trump actor fight global warming won t give 14 home private jet,0,0
5541,winter time haze beijing global warming,2,2
323,related paretweet larger pattern change doesnt prove manmade climate change q much affect,-1,1
6478,retweet remember michael gove tried get climate change removed english school cur ri u cul um s s environment sec,1,1
1394,r amp m development always reviewing climate change energy use email team find e tim,0,1
8388,retweet professional physicist urge action climate change,1,2
11007,trying think joke trump not believing climate change trump doesnt believe climate change top,1,1
3433,retweet dominant ideology creating denying amp blocking reform climate change amp 6 th mass extinction scapegoat e,1,1
8546,retweet animated map show animal t survive climate change without help,1,1
7045,retweet s thinking s going die husband doesnt believe climate change,1,1
13554,retweet first time record human caused climate change rerouted entire river,2,2
13432,deny climate change help oil company breaking treaty putting pipeline indian land gone far enough,1,1
1850,retweet s thinking s going die husband doesnt believe climate change,1,1
88,retweet se rcs roy rich amp colleague create buzz germany global warming simulation,0,1
11219,investor worth 2 8 trillion uniting donald trump climate change denial,2,1
9554,federal highway administration change mention climate change resilience washington post,2,2
7100,dear global warming couldnt real signed confused person wondering snowing north carolina right,-1,1
1942,hill sander tear epa head saying co 2 isnt primary contributor climate change,2,2
38,retweet america climate change unproven people 100 sure guy called noah fit world animal hi,1,1
258,retweet ll tell save global warming lying op chem trail,-1,0
11178,far science climate change im assuming ur talk u know many milli o,-1,1
520,exxon ceo tiller used alias email climate change ny attorney general japan time,2,2
6111,retweet sec state tiller exxon would use email alias wayne tracker discus climate change per ny ag,2,2
5161,never supporetweet dont care climate change green energy fossil fuel pollution u ruin u,1,1
6153,retweet funny thing global warming doesnt care whether believe not science march,1,1
13446,retweet connecting plant phe logy local climate change,2,1
10141,retweet florida voted man doesnt believe climate change literally washed away sea level ri,1,1
11829,retweet concept global warming created chinese order make u s manufacturing non com petit,1,1
7155,retweet country hardest hit drought famine produce almost none emission believed cause climate change,2,1
9226,retweet past tell u greenland s ice sheet vulnerable global warming,2,0
388,rex tiller may used alias communicate exxon official risk climate change,2,2
9606,need snow s mh fuck climate change snow,0,1
7622,retweet china trump didnt make climate change not hoax reagan bush began global warming talk 1980 s,2,2
6971,bitch talk ill talk global warming,0,0
12477,retweet s thinking s going die husband doesnt believe climate change,1,1
8696,dont fight climate change everyone understand climate change change cause caused man us planet easy,0,1
8887,retweet s official guy charge trump s climate policy doesn t think climate change real god help u,1,1
1445,noaa accused manipulating global warming data via,2,0
6741,upside climate change im wearing short t shiretweet november 1,0,1
2409,hello stopped spending money climate change day 1 promise obama care maga,-1,-1
5647,retweet cause climate change retarded music yeah uzi gay s voice,-1,1
13353,plant helped buy u time climate change via,1,2
11336,retweet simple stopping climate change mean cant build pipeline,1,1
4558,yall think yall bout climate change im curious know,0,1
13377,climate change look like,1,1
4461,trump make climate change income inequality prison surveillance worse democrat also failed adequately address issue,1,1
9305,retweet not end world trump administration kill climate change action plan beginning,0,1
7880,retweet s connection climate change violent unrest,0,1
285,retweet s plan b climate change scientist fear consequence trump victory,2,2
7975,gov jerry brown sign climate change legislation extend california s cap trade program los angeles time,2,2
15484,retweet signpost bad thing gotten sizeable chunk skeptic community made climate change den,1,1
10048,ivan ka want speak climate change vague undefined way s stenography not journalism,0,1
4764,retweet iceberg parent melted fight global warming,0,0
8952,retweet miss premier climate change documentary flood yesterday catch gt gt,1,1
15217,retweet president trump sign executive order dismantling former president obama s effort combat climate change,2,2
8810,retweet study earth cooler al gore won nobel peace prize global warming work,-1,2
10296,retweet m confident clean energy future india fully committed climate change goal,1,1
13277,retweet hrc proposes installing half billion solar panel end first term trump think climate change hoax,1,1
15599,retweet time leader stop talking climate change amp working together solve agree add name,1,1
9816,retweet digging around trump epa pick s skeptical climate change,1,2
2069,retweet pretty much every living thing planet already felt climate change cop 22,1,1
13569,retweet another problem republican party ignoring climate change simultaneously taking money,1,1
11337,retweet michael gove pushed global warming removed national curriculum,0,1
10174,retweet concept global warming created chinese order make u s manufacturing non com petit,1,1
7525,retweet agriculture victim solution climate change,1,1
12569,retweet looking america officially belief climate change hoax sorry everybody else,1,1
4097,exception louise white supremacist climate change denier bbc qt,1,1
14906,egregious trump order medium blackout epa tell employee cut climate change webpage censorship,1,2
2171,obama climate change still climate change,2,2
10455,retweet thank floridian s need speak even sea level rise amp global warming not m,1,1
1542,retweet welcome america deny climate change men brag rape kkk support president not president,1,1
13804,time ripe isolationist elected official take action climate change,1,1
12922,retweet obama took one final step fight global warming,2,2
3449,retweet pakistan ratifies paris agreement fight global warming,2,2
11955,trump energy department tell staff not use phrase climate change via geller reporetweet bravo,2,2
10715,global warming policy foundation uk home climate change sc ep tic hit 60 membership fee slump,2,2
7909,retweet brace bitterly cold winter climate change shift polar vortex,2,2
14816,retweet celebrity scientist doctor businesspeople join new nz push action climate change climate declaration,1,2
11221,l coating street material hide plane spy satellite fight climate change,2,1
8544,retweet simply denying global warming would help problem already solved paris,1,1
4078,contributor climate change buck teach kid elementary school many misstep people,1,1
13891,nigeria news breaking trump pull u global climate change accord,2,2
3864,retweet one world largest asset manager vanguard seek improved corporate disclosure climate change,2,1
15402,retweet warming planet drive human migration,2,1
4819,retweet wow hillary blaming dnc matter time blame global warming bigfoot dem s,-1,0
13802,retweet cdc abruptly cancel long planned conference climate change health,2,2
5709,ll ll l uk continue lobby u take climate change seriously foreign secretary said th,2,1
5073,retweet rex tiller allegedly used email alias exxon discus climate change,2,2
13202,investigated whether exon deceived investor amp public hiding knew link b w fossil fuel amp climate change,1,1
5344,retweet people hit worst climate change poor vulnerable amp marginalized moral imperative act clear,1,1
11519,retweet huge section great barrier reef killed overheated water death marker climate change,1,1
7654,retweet climate change climate change climate change climate change climate change climate change climate change climate ch,0,1
133,labour budgeting climate change 2 punch climate change,2,0
13713,retweet map show animal flee climate change,1,1
163,5 horseman apocalypse famine war death pestilence global warming,1,0
13992,six ten trump voter supporetweet taxing regulating climate change causing pollution,0,1
9252,farmer zimbabwe adapting climate change new maize variety via,2,2
15054,climate change isnt real right,1,1
12195,retweet stopping global warming could make world 19 trillion richer reporetweet say,2,2
13838,might end global warming insect survive forever indebted u,0,1
628,excellency president response great climate change policy im looking forward discus u depth,1,1
5612,anyone care climate change online strategy session 7 p m tonight via nonprofit,1,1
6585,retweet personally nt affected trump presidency like saying im cold right global warming cant b,1,1
2608,retweet listen talk air pollution climate change,1,1
6220,u city vow tackle climate change wake president trump decision withdraw paris agreement,2,2
9863,retweet southeast voter backed trump unless tackle climate change may suffer,1,1
8523,climate change jug tila h la global warming ya u su hu bumi yang men ing kat akiba t pengguna bah bakar fo sil,0,0
2085,retweet america whiplash inducing reversal climate change china s gain s via,1,2
10077,retweet woman make vital contribution climate change response policymakers draw upon orange world,1,1
5898,candidate talking climate change affordable healthcare,1,1
15415,retweet know damaging barron trump tweet ignoring climate change someone fired,1,1
11851,someone actually believe global warming myth,1,1
15735,s new climate change reality trump new policy ignore,1,1
13518,retweet people florida vote someone doesnt believe climate change whole shit flooded,1,1
798,curb global warming science fiction may become fact climate change,2,1
1825,retweet wtf america really want openly racist sexual assaulting orange monster doesnt believe climate change,1,1
12407,absolute worst paretweet climate change s november 10 th m still getting mosquito bite,1,1
15796,retweet time give climate change fight cause already hit point return scientist,2,1
190,retweet climate change p 2 retweet west coast state fight climate change even trump not,2,2
5011,retweet b girl hard focus love mind poverty social inequality climate change islam phobia corrupt,1,0
11549,retweet rex tiller used alias email exxon discus climate change new york g say,2,2
9548,retweet reject science climate change technology trade culture human right woman right embrace rural nihilism win,1,1
12697,pr u t dont believe climate change moving n j instead fla yo,1,1
2357,tuesday wearing boot amp hood ie today im choco s amp tank dont believe climate change need exchange word,1,1
13180,retweet president elect doesnt believe climate change million people going say mr t,1,1
9335,theresa may must challenge trump contempt climate change say mp theresa trump erik kka resist,1,2
8806,even medium begun reporting nt global warming since 1990 s eventually,-1,0
4297,retweet let look bright side maybe climate change kill humanity global fascist government staretweet t,1,1
7787,al gore fraud refuse debate global warming,-1,-1
4474,discus climate change president fiji,1,2
4473,doesnt exactly one prevent global warming,0,0
15615,retweet fiction take climate change earth day read recommended,2,1
5960,retweet scientist linked another record breaking weather event climate change,2,2
1871,retweet 100 thing need right reverse global warming earth day,1,1
12867,retweet landmark paris agreement combat climate change come effect officially becoming international law,2,1
1590,retweet president elect doesnt believe climate change million people going say mr t,1,1
4032,donald trump scrap nasa s climate change research politic ed unacceptable trump,1,1
7271,retweet people think climate change thing cause trump fail thing seen,0,1
5761,retweet climate change affecting based state live,2,2
1447,trump ignoring climate change like,1,1
13529,retweet ignore everything donald trump said climate change look latest hire,1,1
13142,retweet fact climate change made hurricane harvey deadly michael e mann,1,1
1966,joined combating climate change take action flood,1,1
9273,world leader duped manipulated global warming data via,-1,-1
8313,retweet wes rucker s opinion climate change exactly opened app tonight,0,1
10245,retweet s thinking s going die husband doesnt believe climate change,1,1
3606,retweet 160000 passionate climate change activist attended coachella music festival california year,1,1
894,retweet effective political argument taking climate change seriously arent one simply rest,1,1
207,retweet scientist study global warming choose show u one like h tt,0,2
750,retweet slashing scientific research climate change not prevent planet warming mean wil,1,1
5613,blame global warming s,0,0
8154,retweet earth day 2017 man made global warming real amp simple proof,1,1
2812,retweet pollution climate change threatening wildflower supporetweet earth hour make change pas panda,1,1
3763,retweet s 2017 head epa doesn t believe science behind climate change,1,1
14194,retweet connecting dot climate change capitalism occupation imperialism,1,1
5375,retweet brookings st weight new climate change evidence may hard trump amp republican ignore,1,1
2136,retweet stake enormously high literally term climate change future planet stake,1,1
12139,retweet trump administration disbanded federal advisory committee climate change,2,2
9118,retweet big box crazy trump aide struggle climate change questioning,1,2
2947,retweet epa slam trump climate change policy accident,2,2
3432,retweet president elect doesn t believe climate change s frightening country world,1,1
6714,retweet eucalyptus contributed planting fire loving tree climate change drought area like building tinderbox fac,1,1
2961,retweet nse du o bot witherspoon director share kid especially vulnerable climate change amp air poll ut,1,1
923,donald trump set visit france bastille day macron bring climate change trade issue,2,2
8145,retweet greatest threat humanity not climate change male testosterone run mock,0,1
6674,president elect not believe climate change dangerous humanity planet,1,1
188,retweet leading global warming denier told u want trump via,2,1
13640,retweet wild oyster san francisco bay threatened climate change,2,2
10498,retweet co 2 level atmosphere hit new high epa head denies role climate change,2,2
431,retweet people predicted part manhattan would underwater 2008 due climate change concerned fake,-1,-1
4966,yes mr businessman totally value opinion climate change scientist actively study,1,0
13715,retweet s simple explanation donald trump know climate change real not give shit,1,1
13817,retweet need address real issue climate change check w real,1,1
3119,kind weird climate change student big oil gas conference,0,0
1941,retweet 97 scientist agree climate change real s caused human activity denying science longer opt,1,1
8587,retweet santa discovers undeniable proof global warming set north pole,0,1
12557,britain face 1000 year ice age due freak climate change neither endorsing debunking allegation,0,1
12790,retweet wrong usual fringe view like climate change denial creationism not deserve airspace,1,1
4536,retweet retweet education make people le vulnerable effect climate change ht,1,1
9434,retweet kid won right sue u government climate change,2,2
15390,kid learn climate change peru read interview gt gt,1,1
5215,retweet male xy female xx abortion human fetus manmade global warming not proven believe,-1,1
12872,know would not believe global warming theory yesterday mid 70 today snow,-1,1
12552,retweet voted guy think global warming fabricated backwards,1,1
13579,retweet arsenal november crisis january dont tell climate change doesnt exist bou ar,1,1
12721,retweet plant appear trying rescue u climate change environment nature,2,2
340,pope challenge un fight climate change via mg wv jai ye,2,2
12749,share best solution eliminate climate change,1,1
1312,retweet massive river sky bring deadly flood due global warming,2,1
91,senior air quality climate change specialist senior air air quality climate change greenhouse gas,0,1
5730,high time consider terrorist politician deny climate change bought lobbyist,1,1
6483,retweet welcome america deny climate change men brag rape kkk support president not president,1,1
2745,retweet al gore others hold climate change summit canceled cdc,2,2
15563,trump climate change denier chronic liar unbridled man given conspiracy theory amp wild idea save u electoral college,1,1
9629,clever tech wont save health damaging climate change,1,1
11430,retweet famine economic collapse sun cook u climate change could wreak sooner think,1,1
2554,retweet republican mont co teacher told u global warming hoax amp taxpayer dollar fund abortion pp cant roll,1,1
14493,retweet fun website u want men monster energy logo pic telling u climate change fake,0,1
8129,irrelevant trump bashing global warming answer perceived liberal problem glass half empty hint solution,-1,-1
4793,retweet global warming isnt real club penguin shut,0,0
13740,retweet president elect doesnt believe climate change million people going say mr t,1,1
14859,retweet look die alone due rapid rise climate change ll probably drowning,1,1
11898,retweet record breaking climate change push world uncharted territory meanwhile trump cut climate research,1,2
745,retweet going single issue voter not making global warming even worse would good issue choose,1,1
8653,retweet president elect doesn t believe climate change s frightening country world,1,1
3779,retweet watch flood right travel world tackle climate change h tt,1,1
7005,retweet india make international solar alliance reality solar rich country come together fight climate change,1,1
113,someone pl s explain 37 march global warming,-1,1
13434,retweet concept global warming created chinese order make u s manufacturing non competitive,-1,-1
2743,retweet amp open climate change awareness raising body pakistan would jo,1,1
14174,francia coretweet embrace forgotten grape fight climate change italian wine,2,2
10858,need glass like climate change eclipse hoax created china,1,1
5377,retweet im voting future planet stake hillary clinton combat climate change donald trump think,1,1
219,retweet join u tomorrow hrc 35 event child right context climate change key message protect empower,1,1
4125,course climate change real always dispute human influence probably negligible,-1,1
4320,retweet even sec defense cite climate change threat trump rest cabinet via,1,2
6420,retweet call global warming,0,0
999,good call many people fighting idea climate change real need people like helping,1,1
2500,retweet president plan fight climate change comprehensive point plan ever conceived,-1,1
10250,sander pathetic epa chief think co 2 not primary contributor climate change,2,2
3310,kerry say hell continue anti global warming effort,2,2
624,imagine actually not believing climate change even china belief climate change,1,1
3600,shoretweet sleeve november global warming pretty great far,0,0
13562,learn climate change help form others good place staretweet free online course,1,1
9417,retweet believe global warming read obama science denier hide amp try cover 18 year long pause,-1,1
2823,retweet concept global warming created chinese order make u s manufacturing non competitive,-1,-1
15124,scare tactic wont stop climate change ed tech,1,1
1835,retweet trump admin tell epa take page climate change staffer melt represents,0,2
4375,nope global warming complete myth tell ya,1,-1
5748,retweet im voting future planet stake hillary clinton combat climate change donald trump think,1,1
7303,retweet huff post talking climate change reddit today ask anything,0,0
7001,top story committed climate change per requirement india economic time,2,1
2473,trump know even care beloved mar largo estate water without agreement climate change,1,1
12338,retweet reminder trump factored real world effect climate change came protecting golf course,1,1
8374,retweet place could leave first climate change,1,1
5679,retweet s thinking s going die husband doesnt believe climate change,1,1
4034,retweet s sunday toronto sun column schooling dicaprio global warming,0,0
14443,retweet 50 country disproportionately affected global warming vow use 100 renewable energy 2050,1,1
9325,retweet study prof alum find many official need see damage planning climate change,2,2
10739,retweet powerful number discussing climate change eve den ce sensitive skeptic,0,1
14248,retweet ur wcw think climate change hoax,0,1
13195,nasty woman im vote 2016 im voting woman right human right climate change real,1,1
5024,retweet bill nye policeman guy going lock thinking something global warming s ez news max,-1,0
3,today maker wired 2016 pivotal year war climate change,1,1
14454,retweet exxon spent million denying climate change knowing along real,2,1
15296,rare move china criticizes trump plan exit climate change pact,2,2
11591,strong climate change signal record june heat,2,2
912,retweet first asked list people believe climate change woman right anti terrorism expert,1,1
8062,good staretweet scotland need leading progressive voice fight climate change,1,1
10806,kid taking fed possibly trump couretweet climate change,2,2
3946,retweet long journalist reporting human induced climate change 100 year h t mike h ner,1,1
9037,retweet voted family hunter dont believe climate change,1,1
2226,trump met climate activist since election s appointed climate change denier cabinet,1,1
8000,australia ranked among worst developed country climate change action,2,2
10224,new reporetweet antarctica horrible news global warming alarmist,-1,-1
1809,blunt truth politics climate change country want sacrifice economy,0,1
5958,quest capture store carbon slow climate change reached new milestone,2,2
7906,washington beijing reuters election climate change skeptic donald trump president likely fb,2,2
3355,hillary would tackled climate change claim everything donald doesnt give half,1,1
4982,effective individual step tackle climate change arent discussed,2,1
4077,retweet america accept weather prediction groundhog yet refuse believe climate change scientist,1,1
10152,retweet absolutely disgusting big problem climate change yet nobody seems give fuck,1,1
401,climate change could kill punxsutawney phil,2,1
11975,retweet another email issue trump cabinet tiller used alias email exxon discus climate change per ny ag,1,2
2503,retweet mayor disappearing island face al gore shuts global warming claim via,-1,-1
3748,retweet business world recognizes tremendous threat climate change need make perspective heard,1,1
8655,retweet ln p closed infectious disease lab climate change see mosquito borne virus boom putting everyone risk,1,1
9868,retweet ny t hired dude doesnt believe climate change,1,1
15380,retweet millennial s not get vote doomed future let fixing climate change woman rig,1,1
6876,retweet show terrifyingly alarming photo anybody doesnt believe climate change,1,1
3937,retweet cant address climate change dont address corporate capture food system g aid 2017,1,1
4750,one conspiracy believe u medium neglect climate change endless campaign bottom r screwed,1,1
7107,retweet s president trump executive order climate change mean world,2,2
13025,white house climate change meeting postponed 10,0,2
10218,270 minute debate time zero question climate change education policy email nafta,1,1
12548,retweet exxon amp oil company known global warming since 70 s,1,1
12839,jerry brown respond climate change late sine o baix o s via,1,2
13169,retweet money fight climate change s spending defense,1,2
15684,retweet bill nye slam cnn climate change skeptic air,2,2
1601,retweet s thinking s going die husband doesnt believe climate change,1,1
1531,retweet climate denial t sign climate change deal struck,1,1
13061,detailed look global warming hiatus confirms human changing climate,1,1
8638,goth live thru global warming suu u u uck s,0,0
3150,retweet house climate change hubby keep turning heater keep turning,0,0
6139,retweet enjoy weather kid global warming b outta yeah ya hur r rd,0,1
12633,retweet s want hear josh trump cause great uncertainty climate change conference,0,1
5772,retweet obama blame climate change gun amp george bush could follow model chicago obama lega,-1,-1
7295,victory south africa s first climate change couretweet case,1,2
11348,time breakdown thing contribute global warming using tool rn r 150 c,1,1
13149,retweet teacher explain climate change m dion celine dion wer night wind cold wer day,0,2
3921,retweet world fight climate change era trump obama s science adviser think,2,1
3751,many global t world leader convinced climate change humanity s greatest threat not agree would make yo,-1,1
5970,retweet governor jerry brown extends climate change bill 10 year abc 7 news environment,2,2
3128,mathematical proof man made climate change total hoax,-1,-1
2675,retweet isnt fascinating climate change completely avoided every debate political system corrupt,1,1
10503,retweet plastic bottle menace rival climate change,2,1
2868,uh look around dont blame human earth warming climate change,1,1
2940,weather climate talk save u global warming u urged bbc news forecast,2,2
7339,retweet holy shit plan withdraw fund climate change prog s withdraw nafta t pp,1,1
13117,emergency campaign launched convince trump climate change real failure risk planetary disaster,2,2
8554,yeah right nearly bad climate change denier,1,1
3041,retweet wow ok global warming real th n explain boy r cold hearted th t thought science s even u,1,1
10896,retweet spatial resilience forested landscape climate change management,0,1
2388,oh yeah al gore scientific proponent global warming,-1,-1
3660,remedy cure global warming write check un,-1,0
3311,retweet sierra club call investigation epa head climate change comment,2,2
4532,retweet expressing un fitness steve bann bigotry stand climate change research progress,1,1
13491,methane emission rise s big problem discussion climate change,1,1
7139,michael bloomberg mark carney make profit defeating climate change opinion guardian,1,2
3832,retweet rick perry climate change skeptic president elect trump choice secretary energy current secretary nu c,1,1
4936,time conservative might staretweet accept scientific method climate change,1,1
8296,retweet immediate action reduce global warming needed protect coral reef severe bleaching event,1,1
2579,retweet waste money little benefit 2 billion foreign aid programme tackle climate change,-1,2
10477,retweet usda begun censoring use term climate change email reveal,2,2
4946,2016 year climate change came home hottest year record karl m athies en travelled tasmania,1,1
2804,retweet everybody want die also everybody want complain global warming im convinced bitch li,0,0
10222,december 9 th 2016 trudeau reach historic deal climate change,2,1
10442,think mother nature try make hint trump global warming real,1,1
